username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-30 13:31;0;1;"Only selectively useful some of the time. It is either hyper-useful or not useful at all and it can get in the way of other things. Very polar. I am reminded of this. Some times they want to be an ENTJ, sometimes an INFJ, and other times an ESTP . https:// twitter.com/amor_vincit_1/ status/1122326654481600512 …";;;;"1123323997272399872";https://twitter.com/Roland00Address/status/1123323997272399872
;2019-04-12 19:14;0;0;"I am having a sweet and lovely dream that a fun chocoholic ESTP girl, carefully unbuttoning an indigo white kimono, gently patting the nose of a scientifically brilliant chestnut mustang.";;;;"1116887430165037056";https://twitter.com/MBTIhorsewomen/status/1116887430165037056
;2019-04-12 16:29;0;1;"To that I would say: I am an ESTP the Myers-Briggs world. These two paragraphs from http:// 16personalities.com is a great summary as it applies here....";;;;"1116845791786733573";https://twitter.com/RossYingling/status/1116845791786733573
;2019-04-12 10:46;0;0;"For the first time in 10 years my Myers-Briggs has changed. I used to be an archetypal ESTP and now I am an ESFP-A. I blame @KatieGraceNash for making more "feeling"....";;@KatieGraceNash;;"1116759563766652928";https://twitter.com/naimahmnash/status/1116759563766652928
;2019-04-12 05:14;0;0;"I am having a sweet and lovely dream that a lovely chocoholic ESTP smart phone app heiress, surreptitiously drying her eyes with the edge of a floral print pair of flip-flops, sings softly to an attentive but remarkably agile Norwegian Fjord Horse.";;;;"1116676037092499457";https://twitter.com/MBTIhorsewomen/status/1116676037092499457
;2019-04-12 03:39;0;1;"I agree! I would say common sense is also the *dominant function* of any type. Like my brother is an ESTP and he says I have no common sense because I have poor awareness of my physical environment and I am not always consciously paying attention to my surroundings";;;;"1116652112207761408";https://twitter.com/Skyebellsz/status/1116652112207761408
;2019-04-11 18:26;0;1;"In totally not-at-all-shocking news, I am an ESTP -type on the #MyersBrigg . Descriptions of "promotor artisans" or "entrepreneurs" all basically list the worst parts of my personality but in a complimentary light. I don't know whether to be insulted or flattered.";;;#MyersBrigg;"1116512826867310592";https://twitter.com/atlimbo/status/1116512826867310592
;2019-04-10 16:05;0;1;":-) #ESTP : That is exactly what my next door neighbour did with/for me, someone I am sure is an ' ESTP '. BTW I much like your grid/matrix. It seems spot on to me. | #MBTI";;;#ESTP #MBTI;"1116114979395186690";https://twitter.com/The_PPete/status/1116114979395186690
;2019-04-05 13:01;0;0;"I am an ESTP . #MyersBriggs #USA1 42 #NWO 99>1 https:// twitter.com/AndrewYang/sta tus/1114255304429121536 …";;;#MyersBriggs #USA1 #NWO;"1114256782078222336";https://twitter.com/shyamal_chandra/status/1114256782078222336
;2019-03-20 16:13;0;1;"Okay! I am back. So, I learned today that flexing your fxns is not only healthy, but normal. An ESTP uses Se and Te (dom and aux early in life), but a healthy ESTP can flex and use Si and Te - in fact they do all the time! As does every other type with their dom and aux.";;;;"1108506915754127361";https://twitter.com/artemidite/status/1108506915754127361
