username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-21 21:16;0;0;"This is one of the many things that was horrible about my childhood. (Not the worse thing mind you, but it was frustrating.) My father is an ESTJ Grandmother is an ESFJ I am an INTJ (Socionics' ILI / INTp) As soon as I "added" to something those other people did not see it as";;;;"1120179444684029953";https://twitter.com/Roland00Address/status/1120179444684029953
;2019-04-12 17:44;0;0;"I am having a sweet and brilliant dream that an ardently passionate ESFJ debutante, slowly removing an aquamarine sunbonnet, quietly brushes the kind mane of a smilingly impressive blue-eyed cremello Bessarabian Wicket horse.";;;;"1116864767094853632";https://twitter.com/MBTIhorsewomen/status/1116864767094853632
;2019-04-12 08:03;0;0;"Pretty good. But I am a female ESTJ raised by an ESFJ mom. I got a whole lot of role Fe from her.";;;;"1116718577153798144";https://twitter.com/Amy63169165/status/1116718577153798144
;2019-04-11 14:05;0;2;"However, the conversation has given me balance - I thought that the ESFJs that I know were “typical” for their type, but I am seeing now that I just happened to get an unhealthy lot. Healthy ESFJ sounds kinda lovely....";;;;"1116447309640937481";https://twitter.com/artemidite/status/1116447309640937481
;2019-04-07 13:51;0;0;"hahaha i am an esfj and a cancer, i love astrology & mbti while fully acknowledging that one of those is a lot more accurate & useful. sorry for snapping, i read your tone wrong :/";;;;"1114994166323269632";https://twitter.com/sazia_noor/status/1114994166323269632
;2019-04-03 16:14;0;0;"I am having a sweet and quick-witted dream that a heavily tattooed blue-eyed ESFJ Paris Match writer, sporting an Indian print halter top, shares an intimate moment with a masterful charcoal grey mustang.";;;;"1113580641919094785";https://twitter.com/MBTIhorsewomen/status/1113580641919094785
;2019-04-03 14:02;0;0;"I am an ESFJ";;;;"1113547465653915648";https://twitter.com/charlah2588/status/1113547465653915648
;2019-03-31 11:24;0;0;"I am an ISTJ who probably has some qualities of an ISFJ or ESFJ at times. I am really a border ESTJ ISTJ.";;;;"1112420419670138880";https://twitter.com/RyanWilsonKing/status/1112420419670138880
;2019-03-26 21:09;0;0;"I based this ( ESFJ ) on the fear being “dishonor”, but I don’t feel like a “feeler”. maybe I’m just as afraid of “ridicule” as I am dishonor, but not like I used to be. I could barely give a shit now. And if you had asked me this when I was younger, I was very much an introvert.";;;;"1110755625913499648";https://twitter.com/kelso839/status/1110755625913499648
;2019-03-24 07:44;0;0;"I am having a sweet and exciting dream that Beyla, an exquisitely cute gentle ginger and blue-eyed ESFJ clubwoman, wearing a cream-colored petticoat, strolling nonchalantly with a unassumingly fantastic blue-eyed cremello Belgian Warmblood horse.";;;;"1109828424233816064";https://twitter.com/MBTIhorsewomen/status/1109828424233816064
;2019-03-14 12:04;0;2;"Yes, and yes. I am so not an advocate for sharing more than what people care to hear. I’ll go quiet and short real quick. But I won’t be salty about it or anything. And yeah, lol my ISFJ mom and ESFJ /ISTJ friend as well as others consistently have me like “ ”";;;;"1106269801142464513";https://twitter.com/Deezy2_Blessed/status/1106269801142464513
;2019-03-11 18:01;0;0;"an intp (me) biasing another intp, seokjin, and our complete opposite, hoseok, an esfj ,,,,,,, i am a mess";;;;"1105272533593382912";https://twitter.com/jinhalexhale/status/1105272533593382912
;2019-03-04 18:32;0;0;"Apparently I am an ESFJ now";;;;"1102758853677142016";https://twitter.com/w1tchbaby/status/1102758853677142016
;2019-03-03 16:00;0;9;"I finally know exactly who I am . It all boils down to this. New bio: Meyers-Briggs: ESFJ Attachment Style: Secure/Open Attachment (skewing Anxious when w an Avoidant Partner) Love Language: Words of Affirmation & La Croix";;;;"1102357996397445120";https://twitter.com/baynegibby/status/1102357996397445120
;2019-02-25 19:32;0;0;"None of them have my personality type. According to this, the closest are Olivia Benson & Dominic “Sonny” Carisi. I am an ISFJ. According to this, Olivia is an INFJ (which is what my oldest daughter is.) Carisi is an ESFJ .";;;;"1100237134554939392";https://twitter.com/HeHoHasMommy99/status/1100237134554939392
;2019-02-24 17:05;0;1;"I appreciate my ENFJ supervisor but ESFJs annoy me*. I am an INTJ. *I have childhood trauma with an ESFJ grandparent.";;;;"1099837831667728390";https://twitter.com/Roland00Address/status/1099837831667728390
;2019-02-20 13:07;0;2;"I am , however, an ESFJ (G is the ENFP) - but the rest is spot in";;;;"1098328370595672065";https://twitter.com/Salzasal/status/1098328370595672065
;2019-02-17 07:02;0;1;"Taylor is an ESFJ . I am an ESFJ . What are your personality types?";;;;"1097149254869700611";https://twitter.com/redpaintlips/status/1097149254869700611
;2019-02-14 08:23;0;1;"I have taken it a few times. I am an ESFJ . But the J side is not very strong.";;;;"1096082610147786753";https://twitter.com/AskPadre/status/1096082610147786753
;2019-02-11 04:59;0;1;"i am an esfj .. almost same as jeonghan but kim mingyu an I ???? pls dont fool me";;;;"1094944024115306497";https://twitter.com/withwonu/status/1094944024115306497
;2019-02-07 15:38;1;8;"I just had to retake my MBTI for grad school and I am now an ESFJ . I used to be an ESTJ. Commence internal crisis of personhood. pic.twitter.com/bZBPBJKXFg";;;;"1093655296386293760";https://twitter.com/proflpowell/status/1093655296386293760
